R,G,B,Label,Confidence
223,190,195,pink,good
243,244,240,white,good
72,117,8,green,perfect
140,255,179,green,good
11,21,2,black,perfect
113,241,183,green,good
213,135,163,purple,poor
245,175,255,pink,good
41,249,113,green,perfect
76,253,46,green,perfect
184,181,127,yellow,poor
236,141,209,pink,good
22,21,21,black,perfect
234,114,33,orange,perfect
145,40,50,red,good
173,193,212,blue,good
100,91,95,grey,perfect
152,161,255,blue,perfect
185,153,157,pink,good
71,5,170,purple,good
74,34,51,brown,good
116,2,119,purple,good
248,247,251,white,perfect
145,164,165,grey,good
87,141,173,blue,perfect
246,243,250,white,perfect
211,200,159,yellow,poor
132,135,139,grey,perfect
13,41,39,black,good
83,178,72,green,perfect
170,160,245,blue,good
47,45,16,black,poor
255,145,4,orange,perfect
30,118,101,green,good
33,91,104,blue,good
22,114,163,blue,perfect
251,94,190,pink,good
9,4,6,black,perfect
160,226,196,green,good
38,55,53,black,good
38,6,48,purple,good
183,19,25,red,good
246,110,21,orange,perfect
86,101,20,green,good
230,105,234,pink,good
85,113,18,green,good
34,128,255,blue,good
73,85,211,blue,good
121,233,193,green,good
255,255,255,white,perfect
40,187,243,blue,good
89,66,54,brown,good
58,5,52,purple,good
254,222,171,yellow,poor
231,170,255,purple,perfect
97,36,69,purple,good
180,167,254,purple,good
46,17,15,black,perfect
34,14,81,purple,good
192,247,74,green,perfect
185,186,201,grey,perfect
33,206,194,green,good
94,204,84,green,perfect
242,252,255,red,perfect
224,62,123,orange,perfect
224,62,123,orange,perfect
182,216,136,orange,poor
91,228,210,green,poor
122,255,207,white,poor
233,143,255,white,poor
0,3,0,white,poor
38,5,5,white,poor
162,86,89,white,poor
82,106,243,white,poor
36,11,27,black,perfect
110,61,74,purple,good
136,53,7,orange,good
208,247,204,green,good
82,227,189,blue,good
36,122,59,green,perfect
25,13,29,black,perfect
220,214,225,purple,good
81,94,135,blue,poor
173,46,122,pink,good
37,165,38,green,perfect
248,146,25,orange,perfect
7,255,254,blue,good
195,255,240,blue,good
218,76,210,purple,perfect
38,38,42,black,perfect
218,247,243,blue,poor
29,31,12,black,perfect
205,255,166,green,good
141,68,185,purple,perfect
55,99,32,green,perfect
7,37,5,black,perfect
48,57,85,blue,poor
161,173,181,grey,perfect
65,114,162,blue,perfect
102,178,31,green,perfect
185,180,94,brown,poor
252,158,198,pink,perfect
186,52,58,red,good
10,9,8,black,perfect
132,113,217,purple,perfect
255,230,201,yellow,poor
203,211,201,grey,perfect
212,34,248,pink,good
253,248,219,yellow,poor
206,181,235,purple,good
181,216,6,green,perfect
143,70,181,purple,perfect
59,244,255,blue,good
139,33,161,purple,perfect
166,170,170,grey,perfect
226,115,59,orange,perfect
162,255,255,blue,good
249,212,233,red,good
149,149,178,grey,perfect
156,52,145,purple,perfect
234,174,136,orange,poor
252,106,178,red,poor
1,76,44,green,good
58,60,69,black,perfect
11,11,11,black,perfect
209,125,177,red,poor
249,58,195,red,poor
24,215,219,blue,poor
127,138,92,green,good
116,110,109,black,good
31,126,253,blue,perfect
54,23,66,black,perfect
217,253,175,green,good
220,64,223,purple,perfect
118,51,119,purple,perfect
243,201,140,brown,poor
5,10,7,black,perfect
10,83,75,green,poor
136,27,66,brown,good
77,153,222,blue,perfect
138,141,200,blue,poor
129,23,143,purple,perfect
97,97,98,grey,good
234,222,35,yellow,perfect
197,232,155,green,good
157,190,209,blue,good
224,170,152,red,good
233,88,111,red,perfect
9,45,32,black,perfect
219,104,8,orange,perfect
235,146,43,orange,perfect
49,70,58,black,perfect
144,198,145,green,good
233,237,174,yellow,poor
22,23,22,black,perfect
110,233,249,blue,perfect
124,125,124,grey,good
19,195,27,green,perfect
255,127,215,red,poor
188,238,73,green,poor
112,70,115,purple,perfect
91,41,73,purple,good
247,196,175,red,poor
143,248,234,red,poor
5,3,8,black,perfect
251,113,104,red,good
10,10,0,black,perfect
91,206,248,blue,poor
139,188,55,green,poor
174,144,252,purple,poor
200,79,11,orange,poor
55,100,57,green,poor
21,121,248,blue,good
35,147,185,blue,poor
48,119,66,green,poor
52,107,157,blue,good
168,168,165,grey,good
118,124,116,grey,poor
95,237,45,green,perfect
39,39,57,black,good
78,201,254,blue,poor
34,37,6,black,perfect
60,115,55,green,good
137,179,246,blue,poor
192,204,190,grey,poor
55,255,78,green,perfect
143,167,160,blue,poor
66,143,76,green,perfect
1,2,2,black,perfect
211,132,222,pink,perfect
110,2,109,purple,good
70,41,100,purple,poor
102,3,133,purple,good
32,75,76,green,poor
198,150,143,brown,poor
176,128,94,brown,good
92,85,22,green,good
83,79,62,brown,poor
253,245,244,white,good
125,179,243,blue,poor
40,254,86,green,good
105,223,199,blue,poor
183,200,214,blue,poor
83,80,13,green,poor
96,55,70,purple,good
21,34,21,black,perfect
139,190,255,blue,good
253,152,98,orange,perfect
38,255,45,green,good
143,128,254,purple,perfect
165,76,80,red,poor
14,29,47,black,perfect
121,192,42,green,perfect
26,43,134,red,poor
68,87,50,green,good
12,59,114,blue,perfect
184,192,230,blue,poor
36,26,31,black,perfect
43,148,204,blue,perfect
88,141,227,blue,perfect
14,239,125,green,perfect
64,248,166,green,perfect
143,187,164,yellow,poor
177,255,212,green,perfect
224,155,124,orange,poor
110,233,68,green,perfect
11,66,41,green,poor
213,220,212,grey,perfect
39,43,43,black,perfect
228,234,242,grey,good
200,3,142,pink,good
82,60,216,blue,perfect
138,117,118,grey,good
4,3,4,black,perfect
24,207,141,green,perfect
151,207,194,green,good
230,232,200,yellow,poor
6,10,2,black,perfect
176,216,204,green,good
192,238,134,green,perfect
153,97,20,brown,good
254,154,189,pink,good
253,167,150,orange,poor
74,31,45,black,good
143,58,1,brown,poor
251,255,239,red,good
90,70,80,red,poor
89,81,158,red,good
15,77,195,red,perfect
129,129,131,orange,perfect
178,110,98,orange,good
24,33,40,red,good
170,212,28,red,poor
179,244,169,green,good
199,228,199,green,poor
193,21,232,purple,perfect
219,146,158,pink,poor
168,123,119,brown,poor
215,196,213,pink,poor
167,136,154,grey,poor
255,234,235,white,poor
194,255,117,green,good
254,250,143,yellow,poor
228,213,219,grey,poor
74,120,8,green,perfect
97,181,72,green,perfect
196,240,171,green,good
81,137,105,green,perfect
170,217,209,blue,good
164,112,158,purple,perfect
162,180,181,red,poor
213,234,211,green,poor
124,251,20,green,perfect
215,252,216,green,poor
153,196,172,green,poor
210,219,216,grey,good
72,65,66,black,perfect
216,50,38,red,perfect
21,26,2,black,perfect
46,26,138,blue,good
189,173,220,purple,poor
156,5,17,red,poor
215,186,122,brown,poor
18,148,255,blue,good
202,162,241,purple,good
65,170,193,blue,poor
133,194,246,blue,perfect
176,191,11,yellow,poor
189,134,197,purple,poor
224,246,253,blue,poor
51,51,51,black,perfect
22,240,51,green,perfect
53,58,66,grey,perfect
163,126,152,purple,good
183,46,93,red,poor
235,243,243,grey,good
153,180,38,green,good
242,138,189,pink,perfect
203,239,159,green,perfect
191,21,121,pink,poor
53,19,73,purple,perfect
54,99,54,green,perfect
230,187,220,pink,perfect
10,11,12,black,perfect
26,234,39,green,perfect
21,40,44,black,good
119,97,208,purple,perfect
189,212,197,green,poor
120,130,131,grey,perfect
59,211,223,blue,good
37,85,254,blue,perfect
245,49,154,pink,good
172,180,160,grey,poor
48,90,43,green,good
31,63,62,black,perfect
166,155,164,grey,poor
39,34,35,black,perfect
150,143,100,brown,good
26,35,14,black,perfect
243,222,56,yellow,perfect
127,127,140,grey,perfect
45,96,28,green,perfect
178,214,222,blue,good
174,171,202,purple,good
109,138,248,blue,good
193,35,78,red,good
150,226,254,blue,good
241,152,239,pink,perfect
130,123,98,brown,poor
82,84,93,grey,good
94,58,147,purple,perfect
205,101,139,pink,good
255,184,59,yellow,good
162,254,216,green,poor
113,231,130,green,good
180,246,107,green,good
13,102,229,blue,perfect
124,114,60,green,poor
213,214,225,grey,poor
113,135,248,blue,good
229,236,254,grey,poor
55,73,70,green,poor
23,58,54,green,poor
188,119,97,red,poor
36,18,15,black,perfect
109,124,87,green,good
120,150,157,blue,poor
27,30,23,black,perfect
139,92,134,purple,good
83,80,188,green,good
91,23,28,red,good
241,94,186,pink,perfect
188,166,130,brown,poor
58,77,50,green,good
67,65,42,green,poor
124,200,97,green,perfect
44,80,64,green,perfect
92,90,76,green,poor
48,49,48,black,perfect
200,165,229,purple,poor
25,60,226,blue,perfect
253,176,238,pink,perfect
147,156,159,grey,perfect
34,11,0,black,perfect
182,210,77,green,perfect
41,93,61,green,perfect
234,210,243,pink,perfect
136,171,186,blue,poor
52,90,47,green,perfect
177,161,252,purple,poor
104,161,108,green,perfect
51,8,149,blue,good
63,137,95,green,perfect
166,58,68,red,perfect
21,19,33,black,perfect
246,187,251,pink,perfect
16,133,156,blue,poor
181,57,55,red,perfect
77,83,32,green,poor
241,249,191,yellow,poor
253,74,249,pink,perfect
220,182,50,yellow,good
205,123,245,pink,good
148,87,210,purple,perfect
177,134,249,purple,perfect
28,27,11,black,perfect
75,31,87,purple,good
61,84,131,blue,good
41,45,118,purple,poor
97,84,94,brown,poor
152,250,219,green,poor
63,38,1,brown,good
107,58,142,purple,good
10,12,12,black,perfect
150,209,122,green,perfect
31,40,25,black,perfect
199,248,226,blue,poor
179,198,142,green,good
247,243,246,white,poor
221,143,127,orange,poor
203,251,255,blue,perfect
22,6,51,black,perfect
135,32,59,red,good
11,16,114,blue,good
169,206,116,green,good
42,16,19,black,good
53,31,65,purple,poor
100,49,128,purple,perfect
141,113,132,pink,poor
136,142,134,green,poor
172,202,202,blue,poor
224,204,215,pink,perfect
167,131,173,purple,perfect
253,90,101,red,perfect
10,105,122,blue,good
95,129,165,blue,perfect
33,62,4,green,good
224,247,218,green,poor
252,141,35,orange,good
133,90,219,purple,poor
179,208,211,blue,poor
213,232,180,green,poor
221,159,129,orange,poor
75,4,89,purple,good
73,66,69,grey,poor
49,64,62,green,poor
223,234,216,green,poor
92,255,61,green,good
144,142,153,grey,perfect
51,21,13,black,perfect
249,247,67,yellow,perfect
251,108,109,red,good
46,243,243,blue,good
72,212,109,green,good
126,238,106,green,good
228,36,239,purple,good
214,215,241,grey,poor
118,99,94,grey,poor
225,210,174,brown,poor
35,231,39,green,good
12,5,5,black,perfect
86,133,64,green,perfect
39,40,41,black,perfect
92,126,80,red,poor
43,5,18,purple,good
62,92,84,green,good
217,180,198,pink,good
65,45,29,brown,perfect
134,15,103,purple,good
214,169,158,orange,poor
120,106,165,purple,poor
235,254,88,yellow,good
242,223,255,pink,good
61,76,65,green,good
78,69,104,purple,poor
140,139,9,yellow,poor
117,133,124,green,poor
234,172,39,orange,good
8,246,6,green,perfect
58,53,57,grey,good
71,224,50,green,perfect
174,206,206,blue,good
238,162,147,pink,poor
238,162,147,pink,poor
197,133,55,orange,good
246,156,236,pink,good
250,78,131,red,poor
25,29,27,black,perfect
37,65,24,green,good
255,244,253,pink,good
255,244,253,pink,good
231,84,228,pink,perfect
110,80,75,brown,perfect
127,156,252,blue,perfect
84,85,25,green,poor
86,114,71,green,good
114,24,34,red,good
208,26,139,purple,good
124,254,209,blue,poor
36,172,255,blue,perfect
232,248,77,yellow,poor
16,145,47,green,perfect
29,35,19,black,perfect
255,170,189,pink,perfect
44,22,65,purple,good
255,230,118,yellow,perfect
53,42,70,purple,good
144,90,107,red,poor
118,105,107,grey,good
83,157,55,green,good
251,216,134,yellow,good
95,150,200,blue,good
255,255,254,white,perfect
228,67,196,purple,perfect
97,76,130,purple,good
196,248,246,blue,good
213,148,152,pink,good
157,184,54,green,poor
167,216,240,blue,good
142,231,191,green,poor
246,225,255,pink,poor
118,27,19,red,poor
1,2,1,black,perfect
70,116,163,blue,good
88,83,102,purple,poor
137,186,128,green,poor
7,34,3,black,perfect
237,254,237,white,poor
0,2,2,black,perfect
236,153,244,pink,good
118,153,213,blue,good
140,241,107,green,good
124,3,144,purple,good
1,22,21,black,perfect
62,128,165,blue,good
96,96,82,grey,good
231,236,230,grey,good
255,82,140,pink,poor
10,19,0,black,perfect
130,51,6,brown,good
16,147,255,blue,perfect
121,233,255,blue,good
192,192,186,grey,perfect
96,107,104,grey,poor
66,55,62,purple,poor
66,55,62,purple,poor
17,22,19,black,perfect
231,225,219,grey,good
200,54,97,red,good
249,135,255,pink,good
160,60,252,purple,perfect
203,146,247,purple,good
207,217,151,yellow,poor
174,147,253,purple,poor
81,57,57,brown,good
14,194,55,green,perfect
71,56,129,blue,poor
150,33,255,purple,good
115,137,35,green,poor
220,49,24,red,poor
12,28,2,black,perfect
107,65,187,purple,good
81,140,126,green,poor
94,239,110,green,good
141,59,187,purple,perfect
2,100,33,green,perfect
100,12,13,brown,poor
75,103,171,blue,good
43,46,61,black,poor
190,56,83,red,good
68,84,61,green,poor
174,100,128,pink,poor
33,68,82,grey,poor
215,188,185,pink,poor
215,174,83,yellow,poor
110,105,108,grey,good
201,55,247,purple,perfect
202,177,212,purple,good
98,94,94,grey,good
148,252,26,green,good
138,66,176,purple,perfect
246,122,24,orange,perfect
129,199,4,green,good
4,39,6,black,poor
212,183,247,purple,poor
26,13,12,black,perfect
230,55,254,purple,perfect
150,12,53,red,good
65,65,65,grey,good
141,193,174,green,poor
179,238,118,green,poor
82,127,30,green,good
11,19,17,black,perfect
202,202,203,grey,perfect
238,227,133,yellow,good
234,253,228,green,poor
184,174,188,grey,poor
92,186,204,blue,good
240,128,150,red,poor
236,89,233,purple,good
9,74,180,blue,perfect
95,20,119,purple,perfect
69,56,200,blue,good
56,53,15,green,poor
157,224,82,green,good
115,244,247,blue,perfect
36,49,95,blue,good
64,221,241,blue,perfect
174,236,143,green,good
137,238,248,blue,perfect
195,176,164,grey,poor
250,252,251,white,poor
119,60,39,brown,perfect
254,226,214,orange,poor
115,117,122,grey,good
249,177,174,red,perfect
66,199,102,green,perfect
7,179,239,blue,good
124,0,2,red,good
23,239,41,green,perfect
32,14,33,black,perfect
32,21,58,black,perfect
212,248,138,yellow,poor
30,1,58,black,perfect
107,209,86,green,good
6,3,0,black,perfect
231,246,254,red,poor
236,192,141,brown,good
237,226,230,purple,good
33,7,99,purple,perfect
167,12,64,red,perfect
255,152,182,pink,perfect
209,250,224,green,good
175,83,254,purple,good
203,172,90,brown,poor
209,106,168,pink,good
153,160,127,green,good
249,226,181,yellow,poor
6,12,6,black,perfect
114,96,112,purple,poor
157,164,142,green,poor
34,201,255,blue,perfect
250,208,170,orange,poor
146,114,198,purple,good
32,38,43,black,good
178,227,244,blue,good
237,190,22,orange,perfect
236,209,245,purple,good
87,46,117,purple,perfect
100,161,250,blue,perfect
145,191,233,blue,good
129,182,168,green,good
169,111,255,purple,good
224,84,254,pink,good
170,8,247,purple,good
253,254,254,white,perfect
80,104,191,blue,perfect
19,19,12,black,perfect
1,2,0,black,perfect
235,229,234,pink,poor
240,241,246,grey,good
132,227,251,blue,good
131,91,242,purple,perfect
217,240,249,blue,poor
56,52,126,purple,good
170,239,227,green,good
238,218,179,yellow,poor
193,154,246,purple,good
243,253,242,green,poor
202,202,48,yellow,poor
255,254,202,yellow,good
109,167,47,green,perfect
12,251,44,green,perfect
255,187,73,orange,perfect
145,92,237,purple,perfect
125,86,140,purple,good
240,233,203,yellow,poor
115,88,129,purple,good
18,71,183,blue,perfect
246,236,233,pink,good
134,180,151,green,good
4,21,2,black,perfect
141,157,247,blue,good
253,33,86,red,perfect
179,225,219,blue,good
1,1,1,black,perfect
49,21,64,purple,perfect
210,111,202,pink,good
254,216,209,pink,poor
188,189,232,purple,good
85,99,4,green,poor
128,37,138,purple,perfect
103,116,178,red,poor
209,180,126,brown,good
177,188,128,green,good
90,135,221,blue,perfect
246,181,181,pink,perfect
213,205,113,yellow,poor
232,255,214,pink,good
255,63,231,pink,good
157,190,208,blue,good
206,131,36,brown,perfect
253,163,139,orange,good
11,10,15,black,perfect
19,19,34,black,perfect
241,109,41,orange,good
103,12,157,purple,perfect
19,75,139,blue,perfect
1,2,2,black,perfect
40,87,248,blue,perfect
190,142,216,purple,perfect
226,63,63,red,perfect
112,194,192,green,good
32,163,79,green,perfect
12,9,28,black,perfect
163,92,253,purple,good
159,160,119,orange,good
87,250,255,green,poor
191,85,248,purple,good
177,163,144,purple,good
145,153,151,grey,perfect
162,203,194,grey,poor
252,99,186,pink,good
201,223,206,red,perfect
140,252,232,green,good
181,188,182,grey,perfect
70,105,72,green,perfect
244,247,189,yellow,good
101,108,121,grey,good
236,9,254,purple,good
92,101,221,blue,perfect
140,113,133,grey,poor
142,105,101,brown,poor
148,106,155,purple,poor
85,122,252,blue,perfect
180,178,174,grey,good
159,237,100,green,good
69,135,44,green,perfect
179,136,244,yellow,good
216,50,78,red,perfect
92,97,81,grey,good
247,247,195,yellow,good
83,183,245,blue,perfect
195,193,185,grey,perfect
60,198,247,blue,perfect
136,89,117,purple,perfect
31,35,15,black,perfect
85,84,254,blue,good
59,90,30,green,good
156,62,209,purple,perfect
81,157,126,green,poor
15,25,16,black,perfect
1,34,33,black,perfect
65,42,82,purple,perfect
114,206,61,green,good
251,238,233,pink,poor
189,54,112,purple,poor
154,102,175,purple,good
242,214,215,pink,good
172,248,253,blue,good
208,78,208,purple,good
255,137,160,red,poor
46,231,115,green,good
77,39,24,brown,perfect
192,217,170,green,poor
70,126,49,green,good
139,65,75,purple,poor
230,79,140,pink,poor
144,240,227,blue,good
18,15,17,black,perfect
100,103,102,grey,perfect
17,10,23,black,perfect
165,55,49,red,poor
11,48,74,blue,good
168,147,249,purple,good
219,219,215,grey,good
212,206,249,grey,good
167,220,48,green,good
2,30,42,black,poor
182,156,192,purple,good
225,243,254,blue,good
247,251,234,yellow,good
189,99,113,red,good
29,211,57,green,good
214,48,197,pink,perfect
37,35,31,black,perfect
225,17,253,pink,perfect
22,155,22,green,good
150,200,198,green,poor
28,250,0,green,perfect
8,20,13,black,perfect
33,3,37,green,poor
234,42,222,yellow,good
24,86,79,yellow,perfect
73,89,85,green,perfect
42,181,236,blue,perfect
202,209,172,purple,poor
95,30,21,purple,good
68,99,99,purple,perfect
179,94,91,brown,perfect
95,33,107,brown,good
88,90,76,brown,poor
160,156,156,pink,poor
50,61,52,black,good
142,130,154,black,perfect
237,224,211,black,poor
251,194,111,grey,poor
117,209,67,grey,good
72,85,214,grey,perfect
24,189,252,blue,good
68,201,188,green,poor
138,121,118,brown,poor
194,45,248,purple,good
122,79,63,brown,good
118,58,182,purple,perfect
41,119,70,green,good
251,12,21,red,perfect
11,10,12,black,perfect
139,68,13,brown,good
4,40,173,blue,good
234,25,133,pink,good
34,232,115,green,perfect
38,15,84,purple,perfect
252,249,180,yellow,good
205,1,255,purple,perfect
249,254,199,yellow,good
43,64,115,black,good
108,21,204,purple,perfect
223,218,255,purple,good
27,255,248,blue,poor
87,156,131,green,good
226,21,211,pink,good
224,128,94,orange,perfect
29,8,55,black,good
255,240,178,yellow,good
255,184,167,orange,poor
156,128,116,brown,perfect
11,2,1,black,perfect
176,188,186,grey,perfect
8,5,2,black,perfect
255,87,163,pink,perfect
12,21,64,blue,poor
71,89,205,purple,poor
43,29,20,brown,good
197,255,210,green,poor
36,195,253,blue,good
227,150,245,purple,good
121,255,217,green,poor
54,76,38,yellow,good
198,250,227,yellow,poor
247,162,168,pink,good
77,98,117,blue,poor
3,2,3,black,perfect
54,167,243,blue,perfect
39,69,4,green,good
253,191,92,yellow,good
74,63,103,purple,good
22,37,45,green,poor
109,142,114,green,good
56,8,57,purple,good
188,171,156,brown,poor
187,56,93,red,good
255,124,209,pink,perfect
198,202,252,purple,good
81,114,121,green,poor
178,199,67,green,good
30,72,58,green,good
41,29,49,purple,poor
5,48,206,blue,good
112,102,154,purple,good
59,253,134,green,good
35,36,41,black,good
226,218,112,yellow,poor
86,108,34,green,good
34,28,24,black,good
165,239,79,green,perfect
35,51,14,green,poor
57,121,214,blue,good
255,201,183,pink,poor
98,99,82,green,poor
4,1,4,black,good
238,250,248,green,poor
225,250,192,green,good
55,1,13,brown,poor
141,195,157,green,poor
251,70,19,red,poor
12,18,9,black,perfect
252,243,246,pink,poor
67,73,23,green,poor
49,90,13,green,good
164,120,154,purple,good
110,233,196,green,good
88,130,159,blue,poor
165,104,224,purple,perfect
32,3,1,black,perfect
36,107,22,green,good
98,150,79,green,good
93,102,143,purple,poor
255,233,224,pink,poor
143,173,85,green,good
41,14,36,brown,poor
6,10,34,black,good
3,124,1,green,perfect
241,138,170,pink,good
105,171,230,blue,good
151,93,253,purple,good
236,253,253,blue,poor
196,168,70,brown,poor
11,12,13,black,good
252,191,122,brown,poor
93,155,147,green,poor
73,2,78,purple,good
161,227,142,blue,good
201,201,201,grey,perfect
238,173,254,purple,good
12,80,254,blue,good
98,135,220,blue,poor
250,246,193,yellow,poor
200,133,93,brown,good
93,24,255,purple,poor
70,96,76,green,good
144,96,28,brown,good
255,226,245,pink,poor
251,190,245,pink,good
253,207,255,pink,good
209,14,135,red,poor
117,136,122,red,poor
103,235,224,blue,poor
255,204,23,yellow,good
241,96,120,red,poor
23,98,26,green,good
153,12,168,purple,good
40,32,117,blue,poor
8,186,36,green,good
7,69,77,green,poor
145,135,143,grey,poor
173,231,132,green,good
78,95,55,green,poor
111,211,79,green,good
127,136,156,grey,poor
18,160,8,green,good
130,191,110,green,poor
69,114,120,green,poor
2,129,6,green,good
230,233,230,grey,good
61,46,52,brown,good
85,39,24,brown,good
115,140,15,green,poor
145,142,221,purple,good
160,160,32,green,poor
55,38,7,brown,poor
235,243,141,green,poor
78,120,72,green,poor
62,68,53,red,poor
74,45,73,red,good
205,255,206,red,poor
210,204,242,red,poor
108,88,37,brown,perfect
28,23,32,pink,perfect
109,223,100,grey,perfect
18,16,14,white,perfect
19,8,97,purple,poor
67,1,1,brown,good
92,123,20,green,perfect
168,168,168,grey,perfect
45,22,99,purple,good
91,128,199,blue,perfect
53,70,66,green,good
111,111,106,grey,perfect
53,89,4,green,perfect
241,244,242,grey,good
118,173,134,green,perfect
17,86,87,green,perfect
204,155,196,pink,perfect
255,29,94,red,poor
203,241,2,green,good
73,140,160,blue,good
255,212,205,pink,good
143,216,133,green,perfect
129,45,108,purple,good
253,134,194,pink,perfect
118,226,255,blue,perfect
59,30,16,brown,good
165,69,113,pink,poor
72,124,254,blue,perfect
184,164,159,grey,poor
139,47,55,red,poor
55,181,149,green,poor
48,58,3,black,poor
242,58,208,pink,perfect
23,26,47,black,good
77,255,35,grey,good
106,124,47,green,good
107,119,10,green,poor
41,156,247,blue,perfect
43,36,20,black,perfect
235,93,174,pink,perfect
255,190,26,orange,poor
96,107,199,red,poor
255,232,62,red,good
66,85,35,red,perfect
52,138,67,orange,poor
91,89,90,orange,good
91,233,150,orange,perfect
252,253,251,green,good
193,233,203,orange,poor
0,0,0,red,good
152,105,120,grey,poor
7,116,165,grey,good
18,85,255,grey,perfect
224,184,186,grey,perfect
2,3,1,grey,perfect
163,102,1,grey,perfect
12,255,224,green,poor
3,2,3,black,perfect
165,123,176,red,poor
240,117,236,red,poor
213,216,207,red,good
184,172,171,red,good
61,3,77,red,good
70,54,66,red,good
1,1,1,black,perfect
115,66,47,brown,perfect
4,16,18,black,perfect
254,226,115,yellow,perfect
148,226,255,blue,perfect
42,126,158,blue,good
216,82,44,orange,good
62,50,197,blue,poor
7,13,51,black,perfect
67,27,54,purple,good
53,64,40,green,good
201,247,104,green,perfect
152,208,205,blue,perfect
133,115,125,purple,perfect
147,99,21,brown,perfect
6,69,209,blue,perfect
115,119,118,grey,perfect
59,88,70,green,good
96,122,46,green,perfect
36,210,148,green,poor
156,3,200,purple,perfect
101,115,162,blue,poor
238,149,201,pink,perfect
89,211,214,blue,perfect
219,220,164,green,poor
255,111,218,pink,perfect
186,200,193,grey,good
119,169,169,blue,good
113,104,167,purple,perfect
198,8,246,purple,perfect
20,10,9,black,perfect
30,16,37,white,perfect
111,255,170,green,perfect
210,155,124,brown,poor
255,242,192,yellow,good
24,102,55,red,poor
16,19,65,purple,good
30,25,254,blue,perfect
155,225,155,green,perfect
112,245,253,blue,perfect
13,20,93,purple,good
73,154,196,blue,perfect
220,220,225,white,poor
116,243,188,green,poor
39,8,10,black,perfect
170,209,178,green,poor
22,25,3,black,perfect
164,163,149,grey,good
61,224,114,green,good
207,210,209,grey,perfect
71,253,144,green,good
29,255,99,green,good
16,13,2,black,perfect
160,74,241,purple,perfect
38,77,158,blue,perfect
188,169,78,orange,poor
156,116,115,red,poor
155,255,127,green,good
65,112,208,blue,good
3,2,3,black,perfect
84,64,71,grey,poor
84,7,222,purple,good
169,241,117,green,perfect
83,244,176,green,good
173,252,202,green,good
187,12,29,red,perfect
78,176,169,blue,good
2,39,25,black,perfect
163,207,144,green,good
178,165,163,grey,poor
106,141,176,blue,good
1,133,47,green,perfect
255,153,24,orange,perfect
43,27,54,purple,perfect
41,41,34,black,perfect
103,54,95,purple,good
23,247,133,green,good
224,252,220,green,good
241,228,162,yellow,poor
192,239,68,green,good
148,151,193,purple,poor
212,43,166,pink,good
22,38,241,blue,perfect
92,132,122,green,good
125,115,13,yellow,poor
200,206,196,grey,good
4,14,16,black,perfect
255,246,224,yellow,perfect
248,222,229,pink,good
159,45,214,purple,good
22,33,219,blue,perfect
207,246,245,blue,poor
249,165,179,pink,good
148,255,243,blue,poor
76,77,75,grey,good
17,18,17,black,perfect
15,15,15,black,perfect
60,35,246,blue,perfect
40,235,51,green,perfect
83,86,83,grey,good
253,126,15,orange,perfect
28,49,37,black,perfect
232,245,222,grey,poor
149,152,160,grey,perfect
237,251,137,yellow,good
161,180,243,blue,good
105,110,176,purple,poor
156,157,132,grey,perfect
209,163,132,brown,poor
150,0,45,red,good
42,33,99,purple,poor
117,115,146,purple,poor
23,24,21,pink,good
146,137,168,purple,perfect
121,86,20,red,perfect
219,223,129,red,good
167,124,117,red,poor
95,133,122,red,poor
43,16,1,black,perfect
156,154,141,grey,good
217,120,85,orange,good
69,88,79,green,good
2,118,97,green,good
176,20,57,red,perfect
125,121,6,brown,poor
37,72,40,green,good
149,128,159,purple,perfect
120,91,191,purple,perfect
106,19,172,purple,perfect
105,95,84,brown,good
161,167,50,yellow,good
41,34,34,black,perfect
53,45,67,black,poor
213,115,199,pink,perfect
138,110,3,brown,good
156,220,218,blue,poor
159,90,73,brown,good
134,113,128,purple,good
109,43,87,purple,good
145,66,106,purple,good
203,90,103,red,good
22,26,36,blue,poor
57,69,69,black,good
100,112,99,grey,poor
13,84,49,green,good
44,42,44,brown,good
60,106,140,blue,good
89,42,89,purple,perfect
16,82,109,blue,good
161,177,216,purple,poor
223,180,186,pink,good
15,173,21,green,perfect
112,155,178,blue,good
0,153,98,green,good
74,191,48,green,good
187,187,196,grey,perfect
103,101,101,grey,good
195,148,203,pink,good
11,49,71,blue,good
231,143,218,pink,perfect
68,121,70,green,perfect
15,21,23,black,perfect
128,221,249,red,poor
136,136,127,grey,good
90,150,133,green,good
113,96,115,purple,poor
77,101,105,blue,poor
121,153,154,blue,poor
184,125,31,orange,perfect
134,24,0,red,perfect
72,182,195,blue,good
38,45,49,black,good
8,232,25,green,perfect
159,17,127,purple,good
219,187,177,pink,poor
95,62,220,purple,perfect
157,166,189,grey,good
183,52,57,red,good
68,80,2,green,good
87,118,148,blue,good
52,12,9,brown,good
143,177,110,green,good
204,190,160,brown,poor
97,112,68,green,perfect
99,124,115,blue,poor
125,110,100,brown,good
1,0,13,black,perfect
75,34,140,purple,perfect
113,177,52,green,perfect
155,55,139,purple,perfect
175,4,132,purple,good
208,197,197,grey,good
71,12,104,purple,good
152,228,222,blue,good
177,238,184,green,good
20,129,114,green,poor
131,167,60,green,good
102,87,63,black,good
18,64,89,blue,good
51,0,172,blue,perfect
75,156,101,green,perfect
80,189,135,green,good
190,191,191,grey,perfect
58,35,74,purple,poor
247,249,247,white,good
67,99,70,green,perfect
